date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:09	165070/165070	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:07%20GMT	https://porndeals.com/blog/42/	H:/PornDeals/PornDeals/porndeals.com/blog/42/index.html	(from https://porndeals.com/blog/80/)
21:59:09	1587/1587	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Feb%202017%2021:41:21%20GMT	https://porndeals.com/media/posts/cover/presidents-day-porn-deals.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/presidents-day-porn-deals.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/80/)
21:59:09	164343/164343	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:08%20GMT	https://porndeals.com/blog/11/	H:/PornDeals/PornDeals/porndeals.com/blog/11/index.html	(from https://porndeals.com/blog/80/)
21:59:09	169010/169010	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:08%20GMT	https://porndeals.com/blog/74/	H:/PornDeals/PornDeals/porndeals.com/blog/74/index.html	(from https://porndeals.com/blog/80/)
21:59:09	24959/24959	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:08%20GMT	https://porndeals.com/blog/79/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/blog/79/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.844.delayed	(from https://porndeals.com/blog/79/)
21:59:10	145812/145812	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Apr%202017%2016:20:45%20GMT	https://porndeals.com/media/django-summernote/2017-04-01/413a9688-dbaa-4d21-8fb3-6421ead07ee0.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-01/413a9688-dbaa-4d21-8fb3-6421ead07ee0.jpg	(from https://porndeals.com/blog/79/)
21:59:10	87492/87492	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Apr%202017%2016:21:35%20GMT	https://porndeals.com/media/django-summernote/2017-04-01/d2505494-f0c8-4867-9d8c-8c4877e34c47.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-01/d2505494-f0c8-4867-9d8c-8c4877e34c47.jpg	(from https://porndeals.com/blog/79/)
21:59:10	156833/156833	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Apr%202017%2016:22:20%20GMT	https://porndeals.com/media/django-summernote/2017-04-01/d02944fb-4024-46bc-b555-dd375c3491a4.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-01/d02944fb-4024-46bc-b555-dd375c3491a4.jpg	(from https://porndeals.com/blog/79/)
21:59:10	153891/153891	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Apr%202017%2016:22:57%20GMT	https://porndeals.com/media/django-summernote/2017-04-01/80cd8075-d6a8-4d0a-b497-1900421ade1f.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-04-01/80cd8075-d6a8-4d0a-b497-1900421ade1f.jpg	(from https://porndeals.com/blog/79/)
21:59:10	1678/1678	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202017%2023:12:15%20GMT	https://porndeals.com/media/posts/cover/cuckolding_03.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/cuckolding_03.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:11	1525/1525	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202016%2020:14:39%20GMT	https://porndeals.com/media/posts/cover/evil-angel-anal-licking.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/evil-angel-anal-licking.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:11	168171/168171	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:10%20GMT	https://porndeals.com/blog/72/	H:/PornDeals/PornDeals/porndeals.com/blog/72/index.html	(from https://porndeals.com/blog/79/)
21:59:11	1455/1455	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20May%202016%2014:14:47%20GMT	https://porndeals.com/media/posts/cover/teen-porn-discounts.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/teen-porn-discounts.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:11	1441/1441	---M--	200	added ('OK')	image/jpeg	etag:%22a5774-5a1-5319f82b8b36a%22	https://porndeals.com/media/posts/cover/7.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/7.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:11	166161/166161	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:10%20GMT	https://porndeals.com/blog/47/	H:/PornDeals/PornDeals/porndeals.com/blog/47/index.html	(from https://porndeals.com/blog/79/)
21:59:12	1829/1829	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Oct%202016%2017:15:32%20GMT	https://porndeals.com/media/posts/cover/brazzers-halloween.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/brazzers-halloween.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:12	167519/167519	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:11%20GMT	https://porndeals.com/blog/35/	H:/PornDeals/PornDeals/porndeals.com/blog/35/index.html	(from https://porndeals.com/blog/79/)
21:59:12	1474/1474	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Dec%202016%2004:50:35%20GMT	https://porndeals.com/media/posts/cover/publicdisgrace02.jpg.50x50_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/posts/cover/publicdisgrace02.jpg.50x50_q85_crop-smart.jpg	(from https://porndeals.com/blog/79/)
21:59:12	163781/163781	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:11%20GMT	https://porndeals.com/blog/32/	H:/PornDeals/PornDeals/porndeals.com/blog/32/index.html	(from https://porndeals.com/blog/79/)
21:59:12	170461/170461	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:11%20GMT	https://porndeals.com/blog/61/	H:/PornDeals/PornDeals/porndeals.com/blog/61/index.html	(from https://porndeals.com/blog/79/)
21:59:12	169543/169543	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jul%202017%2001:59:11%20GMT	https://porndeals.com/blog/68/	H:/PornDeals/PornDeals/porndeals.com/blog/68/index.html	(from https://porndeals.com/blog/79/)
21:59:13	24994/24994	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:11%20GMT	https://porndeals.com/blog/78/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/blog/78/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d	(from https://porndeals.com/blog/78/)
21:59:13	161822/161822	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:41:19%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/50802179-9db0-443a-b5f9-6aa534eaac7d.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/50802179-9db0-443a-b5f9-6aa534eaac7d.jpg	(from https://porndeals.com/blog/78/)
21:59:13	143913/143913	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:41:37%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/e8c9ef74-9f59-4836-90c6-e7b5f616619e.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/e8c9ef74-9f59-4836-90c6-e7b5f616619e.jpg	(from https://porndeals.com/blog/78/)
21:59:13	86231/86231	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:42:36%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/58eee1bb-a957-405b-9520-d7194b8e2400.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/58eee1bb-a957-405b-9520-d7194b8e2400.jpg	(from https://porndeals.com/blog/78/)
21:59:13	96291/96291	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:44:24%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/4f79d34d-a246-4b4f-924d-74bdacfd2ec2.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/4f79d34d-a246-4b4f-924d-74bdacfd2ec2.jpg	(from https://porndeals.com/blog/78/)
21:59:14	204670/204670	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:45:32%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/dd77140a-0f7c-40bd-be3f-a81c98b28a20.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/dd77140a-0f7c-40bd-be3f-a81c98b28a20.jpg	(from https://porndeals.com/blog/78/)
21:59:14	160061/160061	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:46:06%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/264cdc54-882a-4bf1-b67b-b41c98d9ecb9.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/264cdc54-882a-4bf1-b67b-b41c98d9ecb9.jpg	(from https://porndeals.com/blog/78/)
21:59:14	415623/415623	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Mar%202017%2020:47:11%20GMT	https://porndeals.com/media/django-summernote/2017-03-17/3099cab3-f1bb-4a31-8efc-1f6b59afb3cc.jpg	H:/PornDeals/PornDeals/porndeals.com/media/django-summernote/2017-03-17/3099cab3-f1bb-4a31-8efc-1f6b59afb3cc.jpg	(from https://porndeals.com/blog/78/)
